run,final_capital,total_return_pct,max_drawdown_pct,max_consec_losses
171,8347.03,-16.53,-17.3,7
172,11239.19,12.39,-5.96,5
173,10158.2,1.58,-6.53,6
174,9493.34,-5.07,-9.95,11
175,11831.87,18.32,-5.84,5
176,12260.08,22.6,-5.57,5
177,10233.78,2.34,-9.43,11
178,9597.41,-4.03,-11.09,7
179,9643.91,-3.56,-7.99,5
180,10583.81,5.84,-3.97,4
181,11476.69,14.77,-4.9,5
182,8402.98,-15.97,-16.31,13
183,9266.15,-7.34,-10.72,8
184,9230.93,-7.69,-10.52,6
185,8634.83,-13.65,-15.65,9
186,11822.31,18.22,-8.31,5
187,9780.69,-2.19,-11.55,8
188,10678.88,6.79,-7.87,7
189,9809.35,-1.91,-11.76,8
190,9004.61,-9.95,-11.06,5
191,8622.55,-13.77,-13.77,9
192,9771.12,-2.29,-9.9,7
193,8954.02,-10.46,-12.8,6
194,8972.07,-10.28,-14.39,6
195,9438.68,-5.61,-15.32,13
196,10444.39,4.44,-12.46,9
197,9947.22,-0.53,-9.08,7
198,11205.64,12.06,-4.55,4
199,10080.4,0.8,-8.15,9
200,9415.0,-5.85,-11.81,7
201,11305.87,13.06,-8.45,6
202,10045.07,0.45,-8.07,7
203,8078.43,-19.22,-20.04,8
204,10228.95,2.29,-6.86,5
205,11384.07,13.84,-3.02,3
206,10849.09,8.49,-8.39,5
207,10777.43,7.77,-4.07,4
208,8578.76,-14.21,-19.34,13
209,9823.76,-1.76,-12.15,7
210,8969.38,-10.31,-10.56,9
211,10191.94,1.92,-10.24,6
212,9973.65,-0.26,-7.97,6
213,9852.17,-1.48,-10.43,9
214,8599.72,-14.0,-14.0,12
215,10547.32,5.47,-6.09,5
216,8854.29,-11.46,-20.47,20
217,9997.01,-0.03,-7.5,8
218,11099.52,11.0,-3.25,4
219,10797.2,7.97,-4.33,4
220,8111.44,-18.89,-18.89,8
221,9945.35,-0.55,-8.25,5
222,8894.42,-11.06,-14.13,7
223,8683.0,-13.17,-14.1,13
224,10068.77,0.69,-6.72,6
225,10831.16,8.31,-6.79,7
226,8148.49,-18.52,-18.52,8
227,9274.2,-7.26,-10.82,11
228,9715.93,-2.84,-17.71,13
229,10061.47,0.61,-11.78,8
230,9949.57,-0.5,-10.54,8
231,9741.88,-2.58,-9.77,6
232,12624.94,26.25,-8.65,9
233,10742.3,7.42,-7.27,6
234,10752.92,7.53,-8.71,7
235,8717.54,-12.82,-16.82,10
236,9277.2,-7.23,-14.39,13
237,8931.46,-10.69,-13.26,10
238,8955.46,-10.45,-13.15,9
239,9760.7,-2.39,-8.69,7
240,9564.48,-4.36,-10.63,10
241,12782.33,27.82,-3.81,3
242,12116.7,21.17,-7.16,7
243,12304.42,23.04,-6.27,6
244,9266.19,-7.34,-13.47,11
245,11389.33,13.89,-5.97,5
246,10674.71,6.75,-8.65,9
247,10700.81,7.01,-7.73,8
248,8188.2,-18.12,-18.87,6
249,9671.68,-3.28,-8.58,6
250,10290.35,2.9,-6.21,7
251,10566.61,5.67,-8.61,8
252,8455.17,-15.45,-20.28,11
253,10296.84,2.97,-10.01,8
254,10807.97,8.08,-6.77,6
255,9587.54,-4.12,-12.58,10
256,8428.48,-15.72,-17.45,7
257,10348.57,3.49,-13.51,12
258,7952.28,-20.48,-21.64,23
259,10176.88,1.77,-11.5,12
260,9515.43,-4.85,-6.8,5
261,8977.5,-10.22,-18.2,8
262,10993.64,9.94,-5.63,5
263,9700.57,-2.99,-6.5,7
264,9270.04,-7.3,-13.16,11
265,8953.8,-10.46,-10.46,7
266,12333.01,23.33,-5.08,5
267,11080.54,10.81,-5.28,4
268,11260.34,12.6,-10.35,6
269,11787.13,17.87,-4.67,5
270,13356.06,33.56,-5.31,6
271,9044.82,-9.55,-11.48,5
272,10838.34,8.38,-7.51,6
273,10616.39,6.16,-7.71,5
274,8986.78,-10.13,-13.12,9
275,11622.34,16.22,-5.85,6
276,11570.94,15.71,-9.56,10
277,9168.23,-8.32,-13.94,9
278,12179.17,21.79,-7.76,5
279,10250.75,2.51,-7.55,4
280,8744.36,-12.56,-17.19,11
281,10194.42,1.94,-10.1,8
282,9821.52,-1.78,-7.77,6
283,11201.22,12.01,-7.01,5
284,12543.68,25.44,-5.85,6
285,11011.89,10.12,-8.65,9
286,9803.1,-1.97,-11.43,13
287,8747.21,-12.53,-15.49,11
288,10179.71,1.8,-6.32,6
289,10997.84,9.98,-6.12,7
290,11171.42,11.71,-7.18,6
291,10249.03,2.49,-9.07,9
292,8301.43,-16.99,-16.99,9
293,9810.76,-1.89,-8.65,9
294,9572.86,-4.27,-11.63,8
295,9367.73,-6.32,-8.82,6
296,10239.78,2.4,-9.86,5
297,11117.52,11.18,-7.47,8
298,7783.65,-22.16,-22.16,16
299,12242.74,22.43,-6.79,7
300,8625.39,-13.75,-14.86,6
301,10214.46,2.14,-10.48,7
302,9138.07,-8.62,-14.26,7
303,10523.64,5.24,-7.46,5
304,9001.22,-9.99,-15.18,12
305,10508.87,5.09,-10.96,8
306,9878.52,-1.21,-10.61,8
307,10740.42,7.4,-12.42,8
308,8511.46,-14.89,-14.94,5
309,8942.14,-10.58,-14.67,7
310,9698.79,-3.01,-7.73,8
311,8471.28,-15.29,-15.5,8
312,10919.5,9.2,-4.81,4
313,11114.08,11.14,-10.74,8
314,9411.64,-5.88,-9.83,9
315,9734.18,-2.66,-17.71,11
316,9330.81,-6.69,-13.74,9
317,9012.94,-9.87,-16.5,12
318,11583.81,15.84,-4.9,5
319,8944.72,-10.55,-13.74,6
320,9462.99,-5.37,-12.16,7
321,10960.76,9.61,-5.06,5
322,9900.24,-1.0,-12.23,7
323,9827.8,-1.72,-11.55,10
324,10623.46,6.23,-8.86,9
325,9213.68,-7.86,-9.55,10
326,9479.97,-5.2,-13.17,6
327,10710.2,7.1,-10.65,10
328,9735.81,-2.64,-5.94,5
329,11019.18,10.19,-13.14,6
330,11149.78,11.5,-4.25,4
331,8979.87,-10.2,-12.32,7
332,10162.29,1.62,-10.69,6
333,9262.09,-7.38,-15.47,6
334,9488.07,-5.12,-10.56,10
335,9921.71,-0.78,-16.57,13
336,11357.43,13.57,-5.21,4
337,8871.28,-11.29,-11.54,8
338,11020.86,10.21,-9.35,6
339,9524.82,-4.75,-11.65,7
340,9144.93,-8.55,-9.14,5
341,9495.01,-5.05,-9.56,10
342,9110.35,-8.9,-10.95,7
343,9645.34,-3.55,-10.85,12
344,9404.97,-5.95,-7.73,8
345,9151.4,-8.49,-12.81,9
346,10330.72,3.31,-10.36,6
347,9347.35,-6.53,-11.34,6
348,9677.22,-3.23,-13.57,14
349,8737.87,-12.62,-13.7,6
350,12731.68,27.32,-4.12,4
351,10368.16,3.68,-7.15,4
352,8476.33,-15.24,-15.86,16
353,10659.48,6.59,-4.9,5
354,9370.22,-6.3,-17.06,8
355,11499.84,15.0,-8.48,6
356,9272.95,-7.27,-12.71,6
357,8214.69,-17.85,-19.66,10
358,10252.39,2.52,-8.91,10
359,11162.85,11.63,-7.58,6
360,9183.39,-8.17,-13.55,9
361,9006.67,-9.93,-13.58,10
362,8201.54,-17.98,-21.72,12
363,8488.99,-15.11,-17.59,7
364,10714.0,7.14,-9.94,6
365,10377.34,3.77,-4.91,6
366,10686.54,6.87,-9.56,10
367,9254.28,-7.46,-7.97,5
368,12345.76,23.46,-4.9,5
369,10013.26,0.13,-9.77,8
370,8960.65,-10.39,-12.72,8
371,9460.07,-5.4,-14.9,5
372,8709.7,-12.9,-14.91,9
373,8703.11,-12.97,-16.03,11
374,10753.88,7.54,-11.68,8
375,10090.72,0.91,-8.39,7
376,11470.34,14.7,-4.78,4
377,8976.35,-10.24,-12.32,10
378,9929.04,-0.71,-11.34,5
379,9722.32,-2.78,-8.46,8
380,9095.32,-9.05,-11.33,7
381,9102.81,-8.97,-10.79,7
382,10642.92,6.43,-6.26,6
383,9365.05,-6.35,-12.62,14
384,10628.4,6.28,-6.17,6
385,9384.74,-6.15,-10.14,11
386,9881.62,-1.18,-8.51,7
387,10597.83,5.98,-8.65,9
388,7736.99,-22.63,-27.24,18
389,11197.97,11.98,-5.85,6
390,10120.46,1.2,-10.39,10
391,8272.08,-17.28,-19.92,11
392,10261.82,2.62,-7.9,7
393,9003.41,-9.97,-13.86,7
394,11091.16,10.91,-8.46,5
395,7763.11,-22.37,-22.37,13
396,8348.65,-16.51,-17.78,7
397,10741.12,7.41,-8.83,8
398,9715.36,-2.85,-7.24,6
399,9796.97,-2.03,-12.78,10
400,10036.72,0.37,-8.17,5
401,9775.96,-2.24,-11.12,8
402,11307.34,13.07,-5.16,3
403,9429.15,-5.71,-8.34,5
404,9837.94,-1.62,-9.11,5
405,11048.62,10.49,-4.9,5
406,12875.11,28.75,-4.9,5
407,9272.01,-7.28,-15.65,7
408,10174.74,1.75,-4.9,5
409,9839.68,-1.6,-11.18,7
410,9349.87,-6.5,-11.81,8
411,7985.72,-20.14,-20.79,14
412,13233.5,32.34,-3.94,4
413,9677.46,-3.23,-9.66,8
414,13000.02,30.0,-4.55,4
415,8412.49,-15.88,-20.66,14
416,10257.3,2.57,-12.71,11
417,8817.01,-11.83,-15.92,11
418,9965.28,-0.35,-9.54,6
419,8982.75,-10.17,-10.58,5
420,10689.68,6.9,-7.66,5
421,9837.81,-1.62,-6.07,6
422,9640.67,-3.59,-10.57,7
423,9476.7,-5.23,-11.37,7
424,10236.31,2.36,-11.15,7
425,12090.91,20.91,-5.31,5
426,10572.79,5.73,-7.68,5
427,11504.23,15.04,-7.96,6
428,9725.65,-2.74,-11.7,10
429,9265.5,-7.35,-9.91,9
430,11672.42,16.72,-4.98,5
431,8712.98,-12.87,-17.34,8
432,10304.54,3.05,-12.07,9
433,9033.62,-9.66,-13.05,11
434,10884.1,8.84,-7.41,5
435,10195.53,1.96,-6.72,7
436,10053.8,0.54,-5.85,6
437,8397.65,-16.02,-20.04,10
438,11691.38,16.91,-6.79,7
439,8708.27,-12.92,-15.93,13
440,8306.52,-16.93,-20.15,13
