trade_n,rolling_mean,rolling_std,rolling_sharpe
30,0.142,1.8,0.079
31,0.142,1.8,0.079
32,0.142,1.8,0.079
33,-0.039,1.616,-0.024
34,-0.039,1.616,-0.024
35,-0.207,1.43,-0.144
36,-0.325,1.338,-0.243
37,-0.443,1.012,-0.438
38,-0.443,1.012,-0.438
39,-0.52,0.96,-0.542
40,-0.497,0.957,-0.519
41,-0.516,0.961,-0.537
42,-0.43,1.028,-0.419
43,-0.438,1.016,-0.431
44,-0.368,1.047,-0.352
45,-0.309,1.06,-0.292
