timestamp_utc,trigger_candle_utc,setup_key,setup_hash,symbol,name,group,playbook,price,real_entry,target,stop,rr,score,regime_score,setup_score,trigger_score,atr,adx,rsi,rs20,extension_pct,reasons,warnings,blocked,status,bars_open,days_open,current_price,pnl_pct,mfe_pct,mae_pct,exit_date,exit_price,exit_reason,closed_utc,year,month,vol_ratio,pullback_atr,trend_quality,confluence_count,adx_at_entry,vix_proxy
2025-01-27T00:00:00-05:00,2025-01-27T00:00:00-05:00,NOW|breakout|2025-01-27T00:00:00-05:00|228.12|250.00|219.73,59c93bf5dd8d7d7224c08c36460ea2dccc6f1a5e6dae4ebf7154b45b42b892fd,NOW,ServiceNow Inc.,Tech,breakout,232.1820,232.1820,250.0000,219.7300,2.6100,9.0900,4.4500,1.9900,3.1500,5.6000,21.7700,65.2900,3.4900,24.9300,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=210.88) | Direccionalidad valida (ADX 21.8, quality=0.68) | RSI en zona ideal (65.3) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +3.49%",Extension alta: 24.9% sobre EMA200 (penalty=0.56) | Lejos de EMA20 para pullback (1.91 ATR) | Confluencia baja (2/5 senales) — penalty 0.5,,hit_stop,2,2,219.7300,-5.3630,0.8166,-14.7221,2025-01-30,219.7300,stop_hit,2026-07-10T02:45:16.981077+00:00,2025,1,1.9300,1.9100,0.6800,2,21.7700,17.9000
2024-06-07T00:00:00-04:00,2024-06-07T00:00:00-04:00,ORCL|breakout|2024-06-07T00:00:00-04:00|123.29|132.21|119.66,69c968e37134741f83bf1fc96a166135779a211b0dd89f6f22c72ae291d400d8,ORCL,Oracle Corp.,Tech,breakout,121.4613,121.4613,132.2100,119.6600,2.4600,12.1900,4.9400,2.5500,4.2000,2.4200,20.5000,62.7700,5.3000,10.8300,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend: cruce alcista reciente (ST=114.76) | Direccionalidad valida (ADX 20.5, quality=0.62) | RSI en zona ideal (62.8) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +5.30%",Lejos de EMA20 para pullback (1.81 ATR),,hit_target,2,2,132.2100,8.8495,13.6316,-1.4188,2024-06-12,132.2100,target_hit,2026-07-10T02:45:17.825738+00:00,2024,6,1.5500,1.8100,0.6200,4,20.5000,12.2200
2025-05-30T00:00:00-04:00,2025-05-30T00:00:00-04:00,ORCL|breakout|2025-05-30T00:00:00-04:00|163.89|178.72|157.42,224b93eb58b18f6ea5cbeb3e6e7972eff359efee31e7681a8d53ee5ff3aa9fd3,ORCL,Oracle Corp.,Tech,breakout,165.1431,165.1431,178.7200,157.4200,2.2900,9.2900,3.6900,2.0000,3.6000,4.3100,24.2200,67.0600,8.2400,8.3400,"Precio > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=149.86) | Direccionalidad valida (ADX 24.2, quality=0.67) | RSI fuerte de tendencia (67.1) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +8.24% | Ruptura de máximo reciente",Lejos de EMA20 para pullback (2.06 ATR),,hit_target,8,8,178.7200,8.2213,21.3969,-0.1259,2025-06-12,178.7200,target_hit,2026-07-10T02:45:17.903659+00:00,2025,5,2.1600,2.0600,0.6700,3,24.2200,18.5700
2023-08-31T00:00:00-04:00,2023-08-31T00:00:00-04:00,ANET|breakout|2023-08-31T00:00:00-04:00|48.81|52.54|46.41,cdb8d9d8646d3a29992ca9e6c647d6a4f31f148b66111a364b39569e2e2451e4,ANET,Arista Networks,Tech,breakout,49.4175,49.4175,52.5400,46.4100,1.5600,9.2800,4.4400,1.2400,3.6000,1.6000,21.8700,66.1500,9.4900,28.2800,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=43.59) | Direccionalidad valida (ADX 21.9, quality=0.67) | RSI fuerte de tendencia (66.1) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +9.49%",Extension alta: 28.3% sobre EMA200 (penalty=0.76) | Lejos de EMA20 para pullback (2.09 ATR),,hit_stop,9,9,46.4100,-6.0859,0.4806,-7.1432,2023-09-15,46.4100,stop_hit,2026-07-10T02:45:18.615428+00:00,2023,8,2.0900,2.0900,0.6700,3,21.8700,13.5700
2023-11-01T00:00:00-04:00,2023-11-01T00:00:00-04:00,ANET|breakout|2023-11-01T00:00:00-04:00|52.71|58.93|49.56,9013a582c6bbb516a6c6614c00b2b2eb3f8e88502e23637fd6869ad19e7f2925,ANET,Arista Networks,Tech,breakout,53.1050,53.1050,58.9300,49.5600,1.9800,9.7500,4.3300,1.8200,3.6000,2.1000,20.5600,65.1200,13.8100,27.8300,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=44.54) | Direccionalidad valida (ADX 20.6, quality=0.61) | RSI en zona ideal (65.1) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +13.81%",Extension alta: 27.8% sobre EMA200 (penalty=0.73) | Lejos de EMA20 para pullback (2.58 ATR),,expired,15,15,54.6000,2.8105,4.2322,-4.3452,,54.6000,time_stop_15_bars,2026-07-10T02:45:18.628980+00:00,2023,11,2.2400,2.5800,0.6100,3,20.5600,16.8700
2026-04-08T00:00:00-04:00,2026-04-08T00:00:00-04:00,ANET|breakout|2026-04-08T00:00:00-04:00|145.07|164.83|131.71,cc417f33c65c54b897107840304eeccac716939f339f5a058ad1086d9c50b05f,ANET,Arista Networks,Tech,breakout,147.5400,147.5400,164.8300,131.7100,1.4800,11.6600,4.8100,2.1500,4.2000,6.6400,19.5500,61.7100,3.8000,13.6400,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend: cruce alcista reciente (ST=123.23) | Direccionalidad valida (ADX 19.5, quality=0.55) | RSI en zona ideal (61.7) | Precio sostiene EMA50 | RS positiva vs SPY: +3.80%",Lejos de EMA20 para pullback (2.15 ATR),,hit_target,6,6,164.8300,11.7189,12.0239,-1.8598,2026-04-17,164.8300,target_hit,2026-07-10T02:45:18.825746+00:00,2026,4,1.8700,2.1500,0.5500,4,19.5500,21.0400
2024-06-27T00:00:00-04:00,2024-06-27T00:00:00-04:00,PANW|breakout|2024-06-27T00:00:00-04:00|170.41|185.71|162.20,b0722a46fc77e051097243bad9190d387492b47a037755c8b837d3952c538de2,PANW,Palo Alto Networks,Tech,breakout,169.0000,169.0000,185.7100,162.2000,1.8600,9.1800,4.5300,1.0500,3.6000,4.9500,19.7200,69.7600,6.8600,19.2100,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=153.26) | Direccionalidad valida (ADX 19.7, quality=0.71) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +6.86% | Ruptura de máximo reciente",Lejos de EMA20 para pullback (2.52 ATR) | RSI fuera de zona ideal (69.8),,hit_stop,13,13,162.2000,-4.0237,2.2337,-5.2485,2024-07-18,162.2000,stop_hit,2026-07-10T02:45:19.541894+00:00,2024,6,1.6600,2.5200,0.7100,3,19.7200,12.2400
2025-09-19T00:00:00-04:00,2025-09-19T00:00:00-04:00,PANW|breakout|2025-09-19T00:00:00-04:00|208.19|228.45|201.30,faa2d29d79b83941a3b4576629ddbb4d339c1547750cace3f959a01477357463,PANW,Palo Alto Networks,Tech,breakout,207.1600,207.1600,228.4500,201.3000,2.9400,10.2100,4.6100,2.0000,3.6000,4.5900,30.2000,75.5300,8.8500,12.1100,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=194.14) | Direccionalidad valida (ADX 30.2, quality=0.75) | RSI fuerte de tendencia (75.5) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +8.85%",Lejos de EMA20 para pullback (2.63 ATR),,hit_stop,2,2,201.3000,-2.8287,0.6420,-3.3501,2025-09-24,201.3000,stop_hit,2026-07-10T02:45:19.640929+00:00,2025,9,1.5200,2.6300,0.7500,3,30.2000,15.4500
2024-09-20T00:00:00-04:00,2024-09-20T00:00:00-04:00,CRWD|breakout|2024-09-20T00:00:00-04:00|74.96|83.12|70.16,c42fc6f0d9d4ba8bc8c2a97e8a821365a439911c358c78e5f6dbf25aa59efefe,CRWD,CrowdStrike Holdings,Tech,breakout,73.7225,73.7225,83.1200,70.1600,1.7000,7.0100,2.7600,0.6500,3.6000,2.8000,18.3100,69.1100,9.5600,6.2400,"Precio > EMA200 | Supertrend alcista (ST=64.64) | Direccionalidad valida (ADX 18.3, quality=0.68) | Precio sostiene EMA50 | RS positiva vs SPY: +9.56% | Ruptura de máximo reciente | MACD histograma acelerando > 0 | Volumen de confirmacion (3.51x)",EMA200 sin pendiente positiva | Lejos de EMA20 para pullback (2.96 ATR) | RSI fuera de zona ideal (69.1),,hit_stop,3,3,70.1600,-4.8323,0.1729,-5.7683,2024-09-26,70.1600,stop_hit,2026-07-10T02:45:20.410418+00:00,2024,9,3.5100,2.9600,0.6800,3,18.3100,16.1500
2026-01-23T00:00:00-05:00,2026-01-23T00:00:00-05:00,FTNT|breakout|2026-01-23T00:00:00-05:00|81.64|87.82|77.71,4dc2a15fa48c2beed3c8721eb0325407584f3c6928a339e9a2c8df67722f81bc,FTNT,Fortinet Inc.,Tech,breakout,83.2100,83.2100,87.8200,77.7100,1.5700,8.0200,2.2700,2.1500,4.2000,2.2600,30.2800,58.9300,1.0300,-4.8900,"Supertrend: cruce alcista reciente (ST=75.90) | Direccionalidad valida (ADX 30.3, quality=0.64) | RSI en zona ideal (58.9) | Precio sostiene EMA50 | RS positiva vs SPY: +1.03% | Ruptura de máximo reciente | Supertrend: flip alcista = entrada de tendencia | MACD histograma acelerando > 0","EMA200 sin pendiente positiva | Lejos de EMA20 para pullback (1.39 ATR) | Confluencia maxima (5/5) — posible chasing, penalizacion aplicada",,hit_stop,9,9,77.7100,-6.6098,0.4206,-7.1386,2026-02-06,77.7100,stop_hit,2026-07-10T02:45:21.390311+00:00,2026,1,1.8900,1.3900,0.6400,5,30.2800,16.0900
2023-12-15T00:00:00-05:00,2023-12-15T00:00:00-05:00,OKTA|breakout|2023-12-15T00:00:00-05:00|83.17|95.39|78.52,0f1ee4fcb0699735fe5c51ce4486100392f592bb624d6cede066a6361f56c505,OKTA,Okta Inc.,Tech,breakout,84.4800,84.4800,95.3900,78.5200,2.6300,9.4300,3.8300,2.0000,3.6000,3.1000,21.4600,68.5100,14.8000,10.3500,"Precio > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=72.98) | Direccionalidad valida (ADX 21.5, quality=0.74) | RSI fuerte de tendencia (68.5) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +14.80% | Ruptura de máximo reciente",Lejos de EMA20 para pullback (2.76 ATR),,expired,15,15,83.9500,-0.6274,9.3513,-3.1605,,83.9500,time_stop_15_bars,2026-07-10T02:45:22.961660+00:00,2023,12,1.7600,2.7600,0.7400,3,21.4600,12.2800
2025-01-28T00:00:00-05:00,2025-01-28T00:00:00-05:00,OKTA|breakout|2025-01-28T00:00:00-05:00|94.93|104.47|90.28,d759da93f687e562b5e9d3efaa6543d9ad79180e075ce263e32aa06f25c3ff92,OKTA,Okta Inc.,Tech,breakout,94.3800,94.3800,104.4700,90.2800,2.0500,9.3700,3.7700,2.0000,3.6000,2.9300,27.9900,74.9000,13.8200,13.5900,"Precio > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=84.33) | Direccionalidad valida (ADX 28.0, quality=0.71) | RSI fuerte de tendencia (74.9) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +13.82% | Ruptura de máximo reciente",Lejos de EMA20 para pullback (2.85 ATR),,expired,15,15,95.1900,0.8582,6.5904,-2.9455,,95.1900,time_stop_15_bars,2026-07-10T02:45:23.050722+00:00,2025,1,1.6800,2.8500,0.7100,3,27.9900,16.4100
