run,final_capital,total_return_pct,max_drawdown_pct,max_consec_losses
176,25802.66,158.03,-10.97,10
177,23027.83,130.28,-13.07,7
178,11916.91,19.17,-18.7,7
179,19795.65,97.96,-7.73,8
180,17348.75,73.49,-11.63,10
181,22895.97,128.96,-7.7,8
182,32988.11,229.88,-6.15,5
183,12820.73,28.21,-15.96,11
184,12830.96,28.31,-15.84,7
185,18922.48,89.22,-8.84,10
186,22470.43,124.7,-10.46,8
187,19948.55,99.49,-13.56,10
188,18033.65,80.34,-9.38,8
189,15224.49,52.24,-9.98,8
190,18503.51,85.04,-9.01,8
191,22912.6,129.13,-5.64,5
192,20650.17,106.5,-9.7,8
193,17393.65,73.94,-7.88,7
194,16122.0,61.22,-14.78,13
195,16558.93,65.59,-9.23,7
196,16766.99,67.67,-17.39,7
197,17065.59,70.66,-7.68,7
198,28083.25,180.83,-6.02,6
199,14098.79,40.99,-9.12,11
200,22264.6,122.65,-8.26,7
201,27708.2,177.08,-10.48,5
202,24269.13,142.69,-10.59,11
203,21358.4,113.58,-8.34,6
204,15314.23,53.14,-8.09,5
205,17685.59,76.86,-8.94,9
206,18785.75,87.86,-10.04,8
207,26656.81,166.57,-8.19,7
208,16525.31,65.25,-12.75,8
209,14758.9,47.59,-11.3,9
210,18263.6,82.64,-11.79,13
211,26231.15,162.31,-7.23,9
212,21805.59,118.06,-13.19,13
213,21212.32,112.12,-8.83,7
214,19477.53,94.78,-9.61,8
215,16828.9,68.29,-14.09,7
216,16452.89,64.53,-9.3,7
217,20020.6,100.21,-8.49,7
218,18767.76,87.68,-8.48,8
219,18853.42,88.53,-9.64,9
220,12089.85,20.9,-15.9,13
221,12531.92,25.32,-13.21,10
222,18098.69,80.99,-11.65,10
223,21567.94,115.68,-10.33,8
224,19209.73,92.1,-9.4,7
225,17987.09,79.87,-8.26,8
226,23228.78,132.29,-5.61,6
227,28331.05,183.31,-8.05,7
228,17075.18,70.75,-17.62,10
229,24079.7,140.8,-8.64,8
230,17605.64,76.06,-17.97,9
231,13174.31,31.74,-17.46,10
232,24808.02,148.08,-13.74,5
233,25704.44,157.04,-7.91,8
234,21546.16,115.46,-8.76,7
235,14221.03,42.21,-14.88,9
236,27292.12,172.92,-8.18,6
237,20385.48,103.85,-10.05,10
238,18461.46,84.61,-8.58,8
239,17136.53,71.37,-7.33,8
240,28985.91,189.86,-11.32,11
241,26024.95,160.25,-6.74,6
242,23346.69,133.47,-8.83,9
243,21933.65,119.34,-9.68,8
244,15902.9,59.03,-12.94,9
245,17125.64,71.26,-11.94,8
246,16897.09,68.97,-18.13,7
247,19857.29,98.57,-12.63,7
248,19875.25,98.75,-7.33,7
249,20825.8,108.26,-10.94,8
250,16725.46,67.25,-9.21,11
251,15731.16,57.31,-15.41,11
252,20517.99,105.18,-7.1,6
253,13886.54,38.87,-14.25,9
254,21567.78,115.68,-10.0,6
255,20581.67,105.82,-9.88,8
256,11506.63,15.07,-18.93,9
257,24155.58,141.56,-11.12,11
258,18020.56,80.21,-9.12,7
259,20137.83,101.38,-13.8,8
260,29270.82,192.71,-8.43,7
261,21163.31,111.63,-10.86,7
262,23704.32,137.04,-10.72,8
263,15582.49,55.82,-10.07,8
264,21371.39,113.71,-10.52,12
265,18180.0,81.8,-11.49,8
266,29436.91,194.37,-5.87,8
267,26473.95,164.74,-8.69,5
268,22024.74,120.25,-10.99,7
269,32032.44,220.32,-7.74,8
270,17447.85,74.48,-6.61,6
271,19658.45,96.58,-13.32,9
272,23511.09,135.11,-8.4,8
273,26136.13,161.36,-12.98,13
274,21560.51,115.61,-10.46,9
275,22066.86,120.67,-7.76,6
276,16801.9,68.02,-11.9,7
277,21354.11,113.54,-9.21,5
278,29142.92,191.43,-7.35,6
279,18308.49,83.08,-10.52,8
280,14452.81,44.53,-11.49,8
281,15762.24,57.62,-12.71,8
282,16076.02,60.76,-15.55,10
283,20568.86,105.69,-9.56,10
284,23399.29,133.99,-8.76,8
285,17106.54,71.07,-23.3,12
286,13518.26,35.18,-9.59,8
287,20218.44,102.18,-10.07,7
288,28242.63,182.43,-10.27,9
289,15484.0,54.84,-17.34,12
290,24949.91,149.5,-8.15,6
291,22072.25,120.72,-8.04,7
292,17818.06,78.18,-7.13,8
293,13357.32,33.57,-14.39,9
294,12730.96,27.31,-11.64,6
295,32019.74,220.2,-10.51,7
