run,final_capital,total_return_pct,max_drawdown_pct,max_consec_losses
176,36257.2,262.57,-14.99,9
177,53786.33,437.86,-9.42,8
178,32997.4,229.97,-12.21,9
179,37985.5,279.85,-9.86,9
180,47514.14,375.14,-8.04,7
181,31849.75,218.5,-12.15,8
182,32802.02,228.02,-9.48,8
183,32276.0,222.76,-13.97,8
184,28038.93,180.39,-10.71,7
185,23708.98,137.09,-9.68,9
186,43583.86,335.84,-8.39,6
187,22841.38,128.41,-12.82,12
188,38095.46,280.95,-10.73,7
189,20405.87,104.06,-16.91,7
190,34492.35,244.92,-11.51,8
191,38855.21,288.55,-7.93,5
192,31636.54,216.37,-14.96,13
193,56149.38,461.49,-10.7,7
194,31019.82,210.2,-10.19,6
195,34656.49,246.56,-11.37,6
196,30518.41,205.18,-14.52,7
197,37674.35,276.74,-9.76,6
198,25028.05,150.28,-11.13,8
199,51235.13,412.35,-12.67,7
200,37532.79,275.33,-8.76,8
201,31470.87,214.71,-11.93,8
202,22318.43,123.18,-18.17,7
203,41537.81,315.38,-18.06,8
204,35394.52,253.95,-11.2,8
205,32340.51,223.41,-7.36,6
206,26374.8,163.75,-13.34,8
207,32123.55,221.24,-11.71,9
208,32763.09,227.63,-10.17,8
209,40005.13,300.05,-10.38,6
210,41204.2,312.04,-8.65,9
211,36705.01,267.05,-8.14,6
212,24550.46,145.5,-10.36,6
213,43078.37,330.78,-7.43,5
214,25434.35,154.34,-12.77,8
215,36583.97,265.84,-9.38,8
216,32514.45,225.14,-11.48,8
217,22353.89,123.54,-15.99,11
218,34649.74,246.5,-14.62,11
219,25752.45,157.52,-11.28,7
220,19352.25,93.52,-21.01,7
221,35110.09,251.1,-12.56,10
222,39889.08,298.89,-7.79,8
223,29339.93,193.4,-12.31,9
224,49850.12,398.5,-11.81,8
225,49449.6,394.5,-6.4,5
226,55946.37,459.46,-8.65,9
227,62781.6,527.82,-10.11,7
228,36741.05,267.41,-19.14,8
229,43490.56,334.91,-11.54,8
230,60400.62,504.01,-8.45,6
231,34950.49,249.5,-9.51,6
232,23765.76,137.66,-15.9,9
233,36798.15,267.98,-11.48,7
234,24719.95,147.2,-10.46,8
235,34825.8,248.26,-11.64,11
236,28837.49,188.37,-12.23,8
237,19082.45,90.82,-15.43,7
238,41179.14,311.79,-12.08,8
239,56399.35,463.99,-8.26,10
240,31341.26,213.41,-7.81,5
241,44304.87,343.05,-8.74,7
242,33289.86,232.9,-11.89,8
243,37898.56,278.99,-8.85,6
244,37254.55,272.55,-7.39,5
245,33664.83,236.65,-12.78,14
246,65310.77,553.11,-8.2,6
247,29978.63,199.79,-8.79,7
248,46556.16,365.56,-11.29,7
249,32984.34,229.84,-10.3,9
250,36798.36,267.98,-8.83,7
251,47509.81,375.1,-8.47,7
252,48378.07,383.78,-9.23,7
253,32598.57,225.99,-10.59,5
254,53844.61,438.45,-7.77,8
255,79851.57,698.52,-7.53,6
256,52755.05,427.55,-9.6,6
257,40892.22,308.92,-11.53,6
258,27878.81,178.79,-13.58,7
259,36348.97,263.49,-9.33,8
260,48156.13,381.56,-9.16,6
261,31889.89,218.9,-13.4,13
262,45400.08,354.0,-8.94,8
263,39378.79,293.79,-9.56,7
264,46616.65,366.17,-7.51,6
265,32622.0,226.22,-8.61,6
266,38617.31,286.17,-13.2,9
267,28284.32,182.84,-10.23,8
268,31520.52,215.21,-14.4,9
269,39376.35,293.76,-7.4,6
270,22522.14,125.22,-18.39,9
271,30338.22,203.38,-10.7,8
272,30760.26,207.6,-9.35,11
273,49305.02,393.05,-9.68,9
274,41731.69,317.32,-8.51,6
275,38895.13,288.95,-9.8,7
276,38617.27,286.17,-7.85,8
277,36165.32,261.65,-9.71,6
278,35151.99,251.52,-17.01,11
279,37284.6,272.85,-9.4,7
280,32179.98,221.8,-10.62,8
281,38126.93,281.27,-11.34,11
282,50284.28,402.84,-9.77,9
283,38392.53,283.93,-7.59,7
284,30905.18,209.05,-9.21,9
285,30155.59,201.56,-10.51,8
286,56750.3,467.5,-7.63,6
287,33512.36,235.12,-8.6,8
288,43310.32,333.1,-13.04,11
289,48489.1,384.89,-18.38,11
290,49177.58,391.78,-7.25,6
291,41919.78,319.2,-12.82,9
292,16602.05,66.02,-10.68,7
293,25014.04,150.14,-9.38,6
294,48124.25,381.24,-6.85,8
295,32061.46,220.61,-9.39,8
296,30157.64,201.58,-17.56,8
297,35332.76,253.33,-11.88,6
298,31290.19,212.9,-10.81,7
299,25331.85,153.32,-9.91,7
300,32000.49,220.0,-12.56,8
301,62585.33,525.85,-7.37,5
302,23493.3,134.93,-10.33,8
303,44646.4,346.46,-8.26,7
304,48078.31,380.78,-9.01,8
305,38838.6,288.39,-7.95,6
306,35590.54,255.91,-12.0,11
307,45370.97,353.71,-7.18,6
308,30670.75,206.71,-11.54,8
309,34616.13,246.16,-9.39,9
310,25113.71,151.14,-24.37,6
311,59487.78,494.88,-10.7,8
