symbol,group,playbook,year,score,regime_score,setup_score,trigger_score,rr,rsi,adx,rs20,extension_pct,vol_ratio,pullback_atr,trend_quality,confluence_count,vix_proxy,mfe_pct,mae_pct,status,target_binary
MA,Finance,breakout,2023,9.3700,4.4700,2.0000,2.9000,2.2500,71.0600,26.5700,1.2600,8.9800,1.1100,2.4000,0.6900,3,12.0700,0.1976,-3.1552,hit_stop,0
MA,Finance,breakout,2024,9.1600,4.4100,1.5500,3.2000,1.5600,65.3200,24.1200,-0.3900,9.3000,1.0600,1.5000,0.6500,2,12.6900,2.5561,-1.0396,hit_target,1
MA,Finance,breakout,2024,9.4100,4.5100,2.0000,2.9000,1.4700,71.3000,27.1500,1.2200,10.8500,1.0900,2.2800,0.7100,3,13.3000,4.9356,-2.1805,hit_target,1
MA,Finance,breakout,2024,9.1500,4.4000,1.5500,3.2000,2.3900,64.6800,25.8400,-0.2100,15.3100,1.1700,1.7000,0.6500,2,14.4000,2.3734,-2.0140,hit_stop,0
MA,Finance,breakout,2024,8.3700,4.4700,1.5000,2.4000,2.2600,69.2600,26.9700,0.4100,16.5900,1.1600,2.3000,0.6900,3,12.9200,0.1495,-1.4929,hit_stop,0
MA,Finance,breakout,2024,10.0100,4.4100,2.0000,3.6000,2.1700,67.1300,22.9800,4.1200,9.5200,1.2100,1.9300,0.6600,3,19.4500,3.1407,-1.7841,expired,0
MA,Finance,breakout,2024,8.8900,4.4900,2.0000,2.4000,2.4900,75.4000,25.6100,6.6600,11.9400,1.0800,2.5700,0.6900,3,17.6100,0.2260,-2.7500,hit_stop,0
MA,Finance,breakout,2024,8.4600,4.5600,1.0000,2.9000,1.9900,72.1900,20.7400,0.0000,12.6400,1.1700,2.4500,0.7300,3,19.5800,2.5965,-3.0143,hit_stop,0
MA,Finance,pullback,2024,10.7500,4.5500,4.5000,1.7000,1.4300,54.4300,27.8400,2.5600,9.8600,1.5800,0.2800,0.7200,2,21.8800,5.6272,-0.3897,hit_target,1
MA,Finance,pullback,2024,10.3900,4.3900,4.0000,2.0000,1.1500,60.6800,33.2500,0.7400,11.8100,1.5600,1.1400,0.6500,2,14.6000,1.4554,-2.0565,expired,0
MA,Finance,pullback,2024,9.6200,4.3200,4.1000,1.2000,1.2200,53.3800,21.7800,2.6000,9.9200,2.5700,0.2400,0.6100,2,18.3600,1.5927,-3.4501,hit_stop,0
MA,Finance,breakout,2025,9.3700,4.4700,2.0000,2.9000,1.9800,68.8800,20.5200,2.7000,12.1400,1.2700,2.7100,0.6900,3,17.9000,5.4735,-0.0914,hit_target,1
MA,Finance,breakout,2025,9.7100,4.5100,2.0000,3.2000,1.4700,66.9900,35.9100,3.6100,14.4100,1.3300,1.7800,0.7000,2,19.6300,0.4803,-3.2342,hit_stop,0
MA,Finance,breakout,2025,9.5100,4.2600,2.1500,3.6000,2.7500,60.0600,18.7300,1.2200,7.0400,1.1400,1.3000,0.5800,3,24.7000,5.9068,-0.1152,expired,0
MA,Finance,breakout,2025,8.9300,4.5300,2.0000,2.4000,2.9700,70.6600,25.2300,4.2600,12.0700,1.1900,2.2800,0.7200,3,18.3900,1.7604,-2.7254,expired,0
MA,Finance,pullback,2025,9.6000,4.3000,4.0000,1.3000,1.3500,58.9600,27.7300,0.1800,10.1300,1.1400,0.8700,0.6000,2,18.9600,3.2698,-4.0581,expired,0
MA,Finance,breakout,2025,9.6700,4.3700,2.1500,3.1500,2.3400,62.1300,19.7500,3.7900,3.4400,2.3300,1.5900,0.6400,2,14.9100,2.3928,-3.3279,hit_stop,0
MA,Finance,pullback,2026,9.9300,4.1300,4.5000,1.3000,2.5100,53.7300,21.7400,4.0600,2.4400,1.0900,0.2400,0.5200,2,14.9000,1.7954,-3.8920,hit_stop,0
AVGO,Tech,breakout,2023,9.6500,4.5500,2.0000,3.1000,3.1000,72.3500,20.6500,8.3900,18.8100,1.8400,2.8900,0.7200,3,18.5300,16.5239,-1.2353,hit_target,1
AVGO,Tech,breakout,2023,10.6900,5.1700,0.5200,4.2000,2.2800,71.9300,19.8700,6.3100,24.2400,1.7000,3.1500,0.7300,4,14.1700,3.8999,-4.5691,hit_stop,0
AVGO,Tech,breakout,2023,6.9800,4.5600,1.4200,1.0000,3.3500,69.6200,28.7300,7.5100,25.3100,0.9900,2.5800,0.7300,0,13.8000,1.6410,-4.1887,hit_stop,0
AVGO,Tech,breakout,2024,10.1900,4.7500,1.8900,3.5500,2.1900,59.3700,24.7200,3.4200,26.9000,0.9900,1.5400,0.5200,3,15.2300,4.5857,-8.1766,hit_stop,0
AVGO,Tech,breakout,2025,8.7700,4.5700,1.3000,2.9000,3.3500,73.9200,31.7600,19.2200,27.3900,1.0900,2.4600,0.7300,3,19.3100,10.0365,-2.6200,expired,0
AVGO,Tech,breakout,2026,8.8400,4.4400,2.0000,2.4000,2.5600,70.9600,22.4200,8.5300,18.0500,1.1400,3.1900,0.6700,3,19.2300,11.9873,-0.4181,hit_target,1
AVGO,Tech,breakout,2026,7.3900,4.4200,1.1200,1.8500,4.0800,69.3100,32.0700,18.1700,29.7400,0.9900,2.2800,0.6600,1,17.3800,1.1071,-3.6793,hit_stop,0
HD,Consumer,breakout,2023,9.2900,4.3900,2.5500,2.3500,2.2800,65.6900,21.1600,2.8100,7.4900,1.0400,1.7100,0.6400,1,13.6000,3.0455,-0.5168,expired,0
HD,Consumer,breakout,2023,8.2400,2.6900,1.1500,3.6000,2.0100,60.4400,27.8600,-0.3200,0.5500,2.3800,1.9300,0.6500,4,14.1600,5.3516,-1.1573,hit_target,1
HD,Consumer,breakout,2023,7.3100,3.6600,2.0000,1.6500,3.4100,67.8400,30.5700,2.1200,4.2300,1.3000,2.2200,0.6600,1,12.9200,7.5777,-0.2065,hit_target,1
HD,Consumer,breakout,2024,8.3700,4.5200,2.0000,1.8500,2.1000,71.3300,41.6700,4.1200,14.9100,0.9800,2.6200,0.7100,1,12.6900,1.2356,-3.1964,hit_stop,0
HD,Consumer,breakout,2024,8.3300,4.5800,2.0000,1.7500,2.2200,71.9500,43.2000,1.3400,15.6900,1.0000,2.3400,0.7400,2,13.3000,0.0084,-1.9081,hit_stop,0
HD,Consumer,breakout,2024,8.7000,4.4500,1.5500,2.7000,1.4600,62.1200,30.5800,-0.3400,13.9200,1.0600,1.3800,0.6800,2,12.8300,4.3144,-2.8149,hit_target,1
HD,Consumer,breakout,2024,9.9300,4.3300,2.0000,3.6000,1.6900,67.0800,24.2300,2.3800,15.1000,1.1100,1.7500,0.6200,3,14.5400,3.1030,-0.7764,expired,0
HD,Consumer,breakout,2024,9.4000,4.5000,2.0000,2.9000,2.5700,74.1300,26.7200,2.6200,17.0300,1.4200,2.4500,0.7000,3,13.4000,0.4257,-3.0880,hit_stop,0
HD,Consumer,breakout,2024,9.4900,4.5900,2.0000,2.9000,1.2500,73.2300,27.5400,3.8500,19.4300,1.2500,3.0100,0.7400,3,12.9200,0.1953,-1.5960,hit_stop,0
HD,Consumer,breakout,2024,8.0500,4.5000,0.6500,2.9000,2.2100,66.1800,19.5400,2.0000,5.9000,1.0500,2.3000,0.7000,3,12.3000,0.8032,-5.7237,hit_stop,0
HD,Consumer,breakout,2024,9.5300,4.6300,2.0000,2.9000,2.5800,71.4800,22.2600,4.2800,10.5200,1.0800,3.1000,0.7600,3,14.4800,0.3193,-1.9240,hit_stop,0
HD,Consumer,breakout,2024,8.0700,4.5200,1.0500,2.5000,1.9100,69.0900,18.1700,5.5800,11.3300,1.0000,1.9800,0.7100,1,17.6100,3.2494,-0.9825,hit_target,1
HD,Consumer,breakout,2024,9.9300,4.4800,2.5500,2.9000,2.1900,65.9400,18.5100,3.5200,16.5700,1.1900,2.3800,0.6900,3,14.6000,1.8105,-3.5978,hit_stop,0
HD,Consumer,breakout,2025,9.1500,4.3500,1.6500,3.1500,2.0500,60.6200,27.2700,1.0000,8.5000,1.0100,1.4700,0.6200,2,15.9700,2.0692,-3.9612,expired,0
HD,Consumer,breakout,2025,9.3800,4.4800,2.0000,2.9000,2.5800,67.3500,27.5300,7.5700,12.0400,1.2300,2.4700,0.6900,3,17.9000,0.2737,-2.0061,hit_stop,0
HD,Consumer,breakout,2025,8.7500,4.5000,2.0000,2.2500,2.8600,71.5600,27.3700,7.1100,6.9200,0.9600,2.5000,0.7000,2,14.7300,3.5803,-2.1660,expired,0
HD,Consumer,breakout,2025,9.7500,4.6000,2.0000,3.1500,2.7200,68.9500,33.0800,8.0100,9.4900,2.2300,2.3900,0.7500,2,15.5700,6.9322,-0.9352,expired,0
HD,Consumer,breakout,2025,9.6800,4.4800,2.0000,3.2000,2.1600,66.4400,35.7300,4.4600,10.2400,1.0600,1.7700,0.6900,2,15.3000,1.9713,-3.2234,expired,0
HD,Consumer,breakout,2025,8.9500,4.5500,2.0000,2.4000,2.0500,69.0500,37.7000,2.6000,12.7200,1.3500,2.2900,0.7200,3,14.7100,1.0131,-2.6842,hit_stop,0
